customer_id,frequency,monetary,recency,R,F,M,segment,name,country,age
121,2,160.79000000000002,537,3,3,3,Sadık,Alexis Roman,US,25
123,2,160.86,277,4,3,3,Sadık,Christopher Townsend,NL,38
124,2,216.86,1168,2,3,3,Risk Altında,Monica Juarez,MX,39
127,2,419.14000000000004,529,3,3,4,Sadık,Phillip Anderson,DE,49
128,3,202.05,1514,1,4,3,Risk Altında,Jacob Larson,JP,53
129,2,359.8,387,4,3,4,Sadık,Howard Sanchez,BR,45
130,2,122.73,259,4,3,2,Sadık,Brian Simon,CA,69
133,1,90.99,1266,2,1,2,Kayıp,Kelly Park,US,60
134,1,243.78,173,5,1,3,Yeni,Bryce Snyder,US,30
135,1,7.82,1306,2,1,1,Kayıp,Crystal Perez,US,58
138,1,15.86,734,3,1,1,Potansiyel,Sarah Brown,GB,58
140,1,215.51,1771,1,1,3,Kayıp,Michael Perez,SG,75
141,5,573.52,164,5,4,5,Şampiyon,Rhonda Wilkerson,US,47
142,2,405.84000000000003,1063,2,3,4,Risk Altında,Loretta Fuller,JP,68
143,3,409.47999999999996,14,5,4,4,Şampiyon,David Williams,DE,64
144,2,160.97,326,4,3,3,Sadık,Tyler Mccall,DE,36
146,3,268.28999999999996,1347,1,4,4,Risk Altında,Natalie Mitchell,ES,30
147,3,681.71,512,3,4,5,Sadık,Christina Page,IN,73
148,1,224.01,13,5,1,3,Yeni,Robert Johnson,NL,67
149,1,140.18,1282,2,1,2,Kayıp,Jennifer Glass,US,42
150,1,171.96,1844,1,1,3,Kayıp,Devin Johns,GB,60
151,1,90.75,1373,1,1,2,Kayıp,Lisa Bailey,DE,48
152,3,171.37,1002,2,4,3,Risk Altında,Ashley Perez,ZA,41
154,3,145.82999999999998,372,4,4,2,Şampiyon,Mark Chen,AU,35
155,1,39.06,1814,1,1,1,Kayıp,Laurie Jimenez,US,47
156,1,30.56,497,3,1,1,Potansiyel,Jamie Chavez,GB,22
157,1,325.46,2087,1,1,4,Kayıp,Joseph Larson,ZA,45
158,1,50.38,34,5,1,1,Yeni,Joshua Pratt,FR,24
160,3,133.99,163,5,4,2,Şampiyon,Tina Johnson,US,22
161,2,862.8399999999999,1038,2,3,5,Risk Altında,Kimberly Murillo,AU,44
162,3,236.25,948,2,4,3,Risk Altında,Heather Gould,FR,69
163,2,379.41999999999996,93,5,3,4,Sadık,Mariah Hebert,DE,75
164,2,190.9,911,2,3,3,Risk Altında,Randall Nolan,US,34
165,3,293.82,626,3,4,4,Sadık,William Mckenzie,ES,29
166,2,293.41999999999996,1243,2,3,4,Risk Altında,Timothy Hicks,AE,43
167,1,237.34,949,2,1,3,Kayıp,Christine Barry,AE,49
169,2,180.9,634,3,3,3,Sadık,Michael Smith,ES,62
171,3,115.21000000000001,102,5,4,2,Şampiyon,Jennifer Martinez,IN,60
172,2,544.05,464,4,3,5,Sadık,Christopher Mills,MX,54
173,4,572.79,1238,2,4,5,Risk Altında,Melinda Riley,AU,75
174,3,522.14,451,4,4,5,Şampiyon,Mark Villarreal,CA,38
175,5,441.37,367,4,4,5,Şampiyon,Daniel Foster,JP,37
176,1,67.32,205,5,1,1,Yeni,Christopher Matthews,FR,36
177,2,149.46,1845,1,3,2,Risk Altında,Lance Choi,US,61
178,1,56.09,90,5,1,1,Yeni,Megan Richards,ZA,54
179,1,69.45,1034,2,1,1,Kayıp,Sean Miller,BR,59
180,1,249.08,1939,1,1,3,Kayıp,Jack Rogers,AE,70
181,3,653.41,949,2,4,5,Risk Altında,Jennifer Durham,IN,42
182,1,139.43,897,2,1,2,Kayıp,Andrew Beck,US,52
183,2,181.14999999999998,614,3,3,3,Sadık,Joshua Cobb,BR,40
184,1,247.08,109,5,1,3,Yeni,Harry Sharp,BR,74
185,3,575.53,335,4,4,5,Şampiyon,John Harris,SE,21
186,2,201.48,246,4,3,3,Sadık,Jessica Branch,SG,39
187,4,203.45,278,4,4,3,Şampiyon,Barbara Palmer,BR,73
188,4,466.20000000000005,588,3,4,5,Sadık,Brianna Smith,DE,22
189,2,371.33000000000004,762,3,3,4,Sadık,Matthew Rodriguez,MX,75
190,1,109.31,1179,2,1,2,Kayıp,Anita Roberts,DE,57
191,1,30.64,1722,1,1,1,Kayıp,Sonya Callahan,CA,47
192,1,106.4,1691,1,1,2,Kayıp,Mary Bell,BR,42
193,2,180.55,376,4,3,3,Sadık,Zachary Morales,MX,54
194,1,46.87,1957,1,1,1,Kayıp,Michelle Williams,AE,37
196,2,444.5,1170,2,3,5,Risk Altında,Dawn Graham,US,46
197,2,118.83000000000001,1331,2,3,2,Risk Altında,Lauren Dominguez,CA,31
198,1,877.96,414,4,1,5,Yeni,Thomas Brady,JP,60
199,1,178.72,1844,1,1,3,Kayıp,Connie Rose,IN,54
200,2,104.17,884,2,3,2,Risk Altında,Nancy Greer,SE,19
201,1,138.19,1741,1,1,2,Kayıp,Michael Bradford,SG,29
202,1,445.93,990,2,1,5,Kayıp,Kristin Thompson,BR,40
203,1,47.62,1397,1,1,1,Kayıp,Victor Jackson,BR,32
204,1,123.35,132,5,1,2,Yeni,Michael Santiago,US,58
205,3,266.90999999999997,118,5,4,4,Şampiyon,Timothy Bell,CA,37
206,2,275.33,853,2,3,4,Risk Altında,Mark Wilson,AE,29
207,2,335.36,1739,1,3,4,Risk Altında,Linda Murray,US,73
208,4,244.21,475,4,4,3,Şampiyon,Isaac Clark,SG,53
209,2,514.09,556,3,3,5,Sadık,Jo Rodriguez,CA,59
210,2,494.76,1463,1,3,5,Risk Altında,Benjamin Smith,MX,41
211,2,150.69,453,4,3,2,Sadık,Ms. Ashley Burns,CA,19
212,1,76.07,1107,2,1,2,Kayıp,Ian Davis,NL,27
214,3,366.75,78,5,4,4,Şampiyon,Stephanie Fleming,US,62
215,1,147.06,1025,2,1,2,Kayıp,Jamie Holland,GB,31
216,2,461.90999999999997,268,4,3,5,Sadık,Sara King,US,67
218,2,307.51,360,4,3,4,Sadık,Whitney Morrison,NL,32
219,1,56.86,1206,2,1,1,Kayıp,Wayne Davis,GB,29
221,1,44.27,1456,1,1,1,Kayıp,Michael Macdonald,IN,63
222,2,108.74,32,5,3,2,Sadık,Carly Phillips,JP,21
223,3,205.22,1837,1,4,3,Risk Altında,Julie Daniels,FR,23
224,1,100.07,36,5,1,2,Yeni,Valerie Nixon,IN,27
225,2,84.63,368,4,3,2,Sadık,Matthew Cunningham,AU,52
226,2,190.82999999999998,57,5,3,3,Sadık,Elizabeth Cooper,SG,32
227,1,82.47,2017,1,1,2,Kayıp,Bradley Guerrero,DE,45
228,2,180.83999999999997,213,5,3,3,Sadık,Jeremy Green,AU,46
229,1,116.54,757,3,1,2,Potansiyel,Connie Hood,PL,25
231,1,54.03,1932,1,1,1,Kayıp,Jason Jones,ES,35
233,1,199.88,1320,2,1,3,Kayıp,Tyler Hart,GB,40
234,1,7.26,184,5,1,1,Yeni,Anthony Williams,FR,40
235,1,135.36,1902,1,1,2,Kayıp,Stephen Howell,DE,62
236,3,677.15,226,4,4,5,Şampiyon,Patrick Peterson,US,73
237,4,693.97,198,5,4,5,Şampiyon,Kelly Kelly,US,72
238,2,284.27,750,3,3,4,Sadık,Joshua Pratt,DE,58
239,2,787.76,260,4,3,5,Sadık,Corey Griffin,FR,45
240,2,49.32,350,4,3,1,Sadık,Robert Lopez,SE,60
241,1,41.65,550,3,1,1,Potansiyel,Kimberly Norris,JP,27
243,1,233.7,1722,1,1,3,Kayıp,Jenna Alvarez,IN,39
244,1,45.56,345,4,1,1,Yeni,Lisa Jones,SE,43
246,1,228.32,92,5,1,3,Yeni,Emily Rogers,AU,69
247,1,51.9,1377,1,1,1,Kayıp,William Williams,GB,51
248,1,96.51,69,5,1,2,Yeni,Jonathan Baker,SE,68
250,3,247.66,211,5,4,3,Şampiyon,Douglas Pope,AU,54
251,1,213.07,1398,1,1,3,Kayıp,Katrina Reid,US,69
253,3,1030.41,72,5,4,5,Şampiyon,Brittany Harris DVM,MX,36
254,5,510.58,404,4,4,5,Şampiyon,Tanya Willis,JP,42
255,3,183.28,294,4,4,3,Şampiyon,Mary Church,CA,65
256,1,172.23,1054,2,1,3,Kayıp,Elizabeth Gomez,DE,32
257,4,274.03,342,4,4,4,Şampiyon,Sean Jones,US,64
258,1,69.26,2130,1,1,1,Kayıp,Kimberly Blake,JP,53
259,1,147.49,1827,1,1,2,Kayıp,Curtis Morrison,ZA,27
261,2,962.45,1579,1,3,5,Risk Altında,Sheri Bowman,FR,58
262,1,692.35,2,5,1,5,Yeni,John Lynch,PL,37
263,3,50.82,43,5,4,1,Şampiyon,Felicia Snyder,US,20
264,4,322.40000000000003,352,4,4,4,Şampiyon,Evan Valdez,US,47
265,4,910.64,256,4,4,5,Şampiyon,Christopher Thomas,CA,40
266,4,647.9000000000001,680,3,4,5,Sadık,Leah Peters,DE,72
269,2,114.08,285,4,3,2,Sadık,Mark Morales,US,27
270,2,321.34000000000003,27,5,3,4,Sadık,Jonathan Peters,AE,21
271,2,86.27,571,3,3,2,Sadık,Christopher Rojas,IN,20
272,1,90.44,722,3,1,2,Potansiyel,William Porter,BR,54
273,2,408.30999999999995,592,3,3,4,Sadık,Steven Rodriguez,MX,56
275,2,169.07,29,5,3,3,Sadık,Courtney King,NL,49
276,3,217.25,369,4,4,3,Şampiyon,Peter Day,US,59
277,1,57.89,584,3,1,1,Potansiyel,Karen Peck,JP,72
278,2,111.18,577,3,3,2,Sadık,Aaron Wiggins,IN,30
279,2,270.7,767,3,3,4,Sadık,Christy Williams,FR,48
280,1,44.18,159,5,1,1,Yeni,Sharon White,US,75
281,2,47.91,414,4,3,1,Sadık,Brittany Durham,SG,31
283,2,54.84,551,3,3,1,Sadık,Michelle Macias,AU,53
284,2,554.8000000000001,528,3,3,5,Sadık,Amanda Wagner,DE,54
285,2,147.82,742,3,3,2,Sadık,William Stewart,JP,72
286,1,372.36,613,3,1,4,Potansiyel,April Walker,ES,71
288,3,409.71999999999997,295,4,4,4,Şampiyon,Denise Thompson,PL,45
289,2,959.12,642,3,3,5,Sadık,Richard Crane,US,67
291,2,213.03,35,5,3,3,Sadık,Chris Hodges,FR,64
293,1,75.91,1437,1,1,2,Kayıp,Ryan Bowers,ES,64
294,2,1064.59,1020,2,3,5,Risk Altında,Kimberly Stewart,IN,35
296,1,31.72,1362,1,1,1,Kayıp,Austin Daugherty,ZA,62
297,2,112.72,1827,1,3,2,Risk Altında,Mary Bradshaw,ES,73
298,2,86.07,221,5,3,2,Sadık,Laura Kidd,JP,48
299,1,126.67,1643,1,1,2,Kayıp,Christopher Diaz,AE,27
302,1,435.02,221,5,1,5,Yeni,Jodi Miller,GB,50
303,2,250.29,305,4,3,3,Sadık,Mark Cross,US,23
304,2,230.92,1298,2,3,3,Risk Altında,John Keller,CA,56
305,4,348.22,413,4,4,4,Şampiyon,April Green,IN,39
306,1,87.06,1318,2,1,2,Kayıp,Derek Kim,CA,26
307,1,78.99,702,3,1,2,Potansiyel,Ricky Williamson,AU,71
308,2,115.01,1822,1,3,2,Risk Altında,Paul Booker,US,32
309,1,12.97,414,4,1,1,Yeni,James Lane,GB,21
310,2,171.87,1730,1,3,3,Risk Altında,Max Rivera,GB,67
311,2,246.18,1023,2,3,3,Risk Altında,Kathleen Valenzuela,NL,72
312,2,77.04,335,4,3,2,Sadık,Jessica Cooley,US,48
314,3,852.49,196,5,4,5,Şampiyon,Elizabeth Rivera,ES,51
315,4,347.73,413,4,4,4,Şampiyon,Billy Roth,US,61
316,3,855.77,330,4,4,5,Şampiyon,Amy Becker,FR,28
317,3,228.84,436,4,4,3,Şampiyon,Sarah Taylor,ES,35
318,3,618.1800000000001,494,3,4,5,Sadık,Connor Hendrix,SE,66
320,5,426.47,164,5,4,4,Şampiyon,Eric Delacruz,JP,26
322,4,330.42,150,5,4,4,Şampiyon,Robert Gonzalez,DE,19
323,2,78.52000000000001,947,2,3,2,Risk Altında,Karl Morris,US,36
324,1,225.48,1603,1,1,3,Kayıp,Rebekah Vargas,SE,61
326,1,168.69,561,3,1,3,Potansiyel,Kathleen Smith,IN,41
327,6,1008.15,209,5,4,5,Şampiyon,Rebecca Ferguson,GB,63
331,1,48.64,1025,2,1,1,Kayıp,Brittany Barr,SG,61
332,1,130.03,1280,2,1,2,Kayıp,Jenna Johnson,US,21
333,2,29.0,963,2,3,1,Risk Altında,Melissa Gonzalez,SG,38
334,5,805.12,125,5,4,5,Şampiyon,Andrew Bell,NL,40
335,2,203.32999999999998,1176,2,3,3,Risk Altında,John Smith,NL,29
336,3,546.58,12,5,4,5,Şampiyon,Dr. Kyle Fernandez,SG,75
337,1,586.78,1860,1,1,5,Kayıp,Elizabeth Carpenter,CA,25
339,1,162.55,848,3,1,3,Potansiyel,Brian Collier,SG,19
341,1,23.61,539,3,1,1,Potansiyel,Jennifer Horton,US,41
342,1,29.46,1223,2,1,1,Kayıp,Matthew Martin,JP,21
343,3,725.09,1004,2,4,5,Risk Altında,Shelley Castillo,NL,42
344,3,361.03,201,5,4,4,Şampiyon,Jon Herrera,SE,40
345,2,620.09,33,5,3,5,Sadık,Katie Richardson,GB,27
346,1,17.47,671,3,1,1,Potansiyel,Molly Nichols,US,55
347,1,259.6,2045,1,1,4,Kayıp,Richard Hudson DDS,US,50
348,1,143.19,1952,1,1,2,Kayıp,Mrs. Lori Rodriguez DDS,SE,44
349,3,418.85,1389,1,4,4,Risk Altında,Reginald Palmer,IN,33
350,2,231.42,825,3,3,3,Sadık,Mrs. Lisa Holt,JP,18
351,1,161.63,1256,2,1,3,Kayıp,Todd Jenkins,GB,23
352,3,290.25,301,4,4,4,Şampiyon,Jorge Jackson,FR,39
353,2,423.38,500,3,3,4,Sadık,Michelle Jones,CA,60
354,4,334.27,646,3,4,4,Sadık,Erin Jones,ES,50
356,1,97.89,1469,1,1,2,Kayıp,Michael Turner,US,39
357,1,179.55,1779,1,1,3,Kayıp,Jessica Bryan,AU,45
358,1,231.1,1864,1,1,3,Kayıp,Audrey Schmitt,NL,46
359,3,260.20000000000005,325,4,4,4,Şampiyon,Kristina Rich,US,45
360,1,57.01,412,4,1,1,Yeni,Teresa Petersen,IN,45
361,2,225.15,1951,1,3,3,Risk Altında,Rebecca Alvarado,US,25
362,4,696.85,350,4,4,5,Şampiyon,Alan Rodriguez PhD,AE,70
363,1,65.85,518,3,1,1,Potansiyel,Joshua Miller,GB,20
364,1,242.78,1598,1,1,3,Kayıp,Brandon Nelson,NL,65
365,1,183.55,671,3,1,3,Potansiyel,Michael Williams,FR,32
366,1,187.57,42,5,1,3,Yeni,Danny Wu,GB,47
369,3,510.78999999999996,865,2,4,5,Risk Altında,Kayla Bennett,SG,39
370,2,434.9,1281,2,3,5,Risk Altında,Derek Phillips,IN,32
371,1,117.47,831,3,1,2,Potansiyel,Matthew Snyder,IN,45
372,3,2978.2799999999997,1193,2,4,5,Risk Altında,James Collins,US,52
373,1,104.84,251,4,1,2,Yeni,Karen Smith,JP,24
375,2,205.58999999999997,138,5,3,3,Sadık,Joshua Russell,SE,46
376,2,260.42,0,5,3,4,Sadık,William Ward DVM,BR,48
377,1,251.58,815,3,1,3,Potansiyel,Hannah Taylor,ES,26
379,1,50.05,2064,1,1,1,Kayıp,Eric Acevedo,BR,68
381,2,220.97,1970,1,3,3,Risk Altında,Timothy Dean,JP,35
382,2,853.3299999999999,430,4,3,5,Sadık,Douglas Nichols,FR,70
385,3,270.92,1362,1,4,4,Risk Altında,Sheri Davis,IN,34
386,1,43.79,523,3,1,1,Potansiyel,Carol Thompson,BR,23
387,2,223.79000000000002,107,5,3,3,Sadık,Jennifer Porter,US,73
389,3,257.78000000000003,423,4,4,4,Şampiyon,Aaron Berry,MX,55
390,1,120.95,1506,1,1,2,Kayıp,Rachel Frazier,BR,71
392,2,258.56,658,3,3,4,Sadık,Michele Salazar,US,40
393,3,679.75,840,3,4,5,Sadık,Daniel Walker,SG,57
394,1,158.16,1628,1,1,3,Kayıp,Michael Jones,US,19
395,5,1273.15,350,4,4,5,Şampiyon,Anthony Griffin,PL,20
396,1,5.93,1694,1,1,1,Kayıp,Mr. Timothy Oconnell,US,58
397,2,73.53,400,4,3,1,Sadık,William Ray,NL,33
398,3,602.46,401,4,4,5,Şampiyon,James Blevins,SE,52
399,2,614.89,944,2,3,5,Risk Altında,Troy Ortiz,BR,20
400,1,80.65,507,3,1,2,Potansiyel,Darlene May,DE,61
401,2,39.1,180,5,3,1,Sadık,Cheryl Gilbert,MX,63
402,3,1015.68,329,4,4,5,Şampiyon,Steven Smith,US,41
403,2,122.44,111,5,3,2,Sadık,Perry Massey,BR,68
405,1,75.36,348,4,1,2,Yeni,Henry Garcia,SE,39
406,1,234.11,1353,1,1,3,Kayıp,Jordan Garcia,FR,56
407,2,263.65999999999997,1632,1,3,4,Risk Altında,Mr. George Flores,MX,37
408,1,107.6,1802,1,1,2,Kayıp,Christine King,DE,48
410,1,168.95,1404,1,1,3,Kayıp,Brian Luna,US,26
412,1,201.76,270,4,1,3,Yeni,Dan Gomez,DE,59
413,1,133.44,769,3,1,2,Potansiyel,Kenneth Knapp,DE,21
414,2,450.04,994,2,3,5,Risk Altında,Shannon Jackson,DE,72
415,5,661.19,820,3,4,5,Sadık,Bailey Jimenez,FR,30
416,2,225.0,73,5,3,3,Sadık,Keith Mcgee,NL,25
417,2,183.79,11,5,3,3,Sadık,Terry Gonzalez,NL,56
419,3,375.33000000000004,1051,2,4,4,Risk Altında,Christian Smith,AE,25
420,3,414.11,115,5,4,4,Şampiyon,Robert Martin,US,20
421,1,42.13,1121,2,1,1,Kayıp,Kristi Underwood,CA,55
422,1,122.43,212,5,1,2,Yeni,James Smith,GB,24
423,2,165.3,1166,2,3,3,Risk Altında,Michael Moss,GB,55
424,1,17.34,282,4,1,1,Yeni,Heather Davis,US,54
425,3,105.2,1076,2,4,2,Risk Altında,Donald Parker,MX,23
426,2,305.43,17,5,3,4,Sadık,Adriana Jones,GB,46
428,1,25.71,584,3,1,1,Potansiyel,Sara Moran,DE,43
429,1,28.59,114,5,1,1,Yeni,Amy Montgomery,GB,55
430,3,568.5300000000001,629,3,4,5,Sadık,Alyssa Reyes,US,68
431,2,271.08000000000004,150,5,3,4,Sadık,Kara Dean,GB,67
432,4,514.5699999999999,59,5,4,5,Şampiyon,Gina Stephens,SG,21
433,3,398.26,2,5,4,4,Şampiyon,Rebecca Patel,CA,57
434,1,207.64,21,5,1,3,Yeni,Holly Medina,BR,53
435,1,52.87,340,4,1,1,Yeni,Kimberly Hurley,BR,24
436,3,431.42999999999995,160,5,4,5,Şampiyon,Lynn Holland,JP,74
438,1,37.17,462,4,1,1,Yeni,Nichole Mullins,MX,29
439,4,207.10000000000002,178,5,4,3,Şampiyon,Christine Green,FR,47
441,1,813.98,1958,1,1,5,Kayıp,Johnny Montes,NL,25
442,1,43.85,1679,1,1,1,Kayıp,James Horton,CA,74
443,1,10.11,1997,1,1,1,Kayıp,Julia Morris,AU,53
444,1,248.16,1293,2,1,3,Kayıp,Daniel Bell,ZA,57
445,1,52.58,1879,1,1,1,Kayıp,Brooke Hopkins,BR,41
449,1,11.92,109,5,1,1,Yeni,James Hubbard,CA,52
450,1,85.03,1396,1,1,2,Kayıp,Cynthia Orozco,GB,29
451,3,380.80999999999995,33,5,4,4,Şampiyon,Jacob Campbell,US,41
452,1,148.93,2117,1,1,2,Kayıp,Michael Davis,US,32
453,2,145.88,1077,2,3,2,Risk Altında,Antonio Lee,IN,61
454,2,206.05,94,5,3,3,Sadık,Andrea Walker,ES,30
455,6,1105.2,287,4,4,5,Şampiyon,Tony Warren,AU,62
456,2,125.47,664,3,3,2,Sadık,Bradley Baker,NL,62
457,4,348.7,299,4,4,4,Şampiyon,Lynn Garcia,IN,73
458,3,163.92000000000002,859,2,4,3,Risk Altında,Karen Scott,NL,63
459,5,340.08000000000004,139,5,4,4,Şampiyon,Melissa Johnson,US,35
463,2,544.51,509,3,3,5,Sadık,Alexandria Vaughan,FR,28
465,2,82.91,183,5,3,2,Sadık,William Campos,PL,62
466,2,97.30000000000001,480,4,3,2,Sadık,Laura Carrillo,GB,72
467,1,7.98,211,5,1,1,Yeni,Lisa Alvarez,US,57
469,2,448.52,385,4,3,5,Sadık,Amy Young,GB,29
470,1,150.37,463,4,1,2,Yeni,Kelly Walker,DE,19
472,3,523.71,532,3,4,5,Sadık,Walter Harrell,US,62
474,2,431.03,495,3,3,5,Sadık,Rebecca Roach,SG,46
475,4,785.36,22,5,4,5,Şampiyon,Catherine Holt,SE,18
476,2,220.88,646,3,3,3,Sadık,Rodney Haynes,CA,23
477,5,321.01,521,3,4,4,Sadık,Thomas Wallace,SE,57
478,2,127.07,1780,1,3,2,Risk Altında,Crystal Jordan,FR,52
